LipidClass,Highest_TIC_Winner_SolventMatrix,Highest_TIC_Value,Average_TIC_Winner_SolventMatrix,Average_TIC_Value
Cer,21MeOHIPA,1211200,21MeOHIPA,1104506.6666666667
PC,21MeOHACN,319692640,21MeOHACN,195353266.66666666
PE,21MeOHACN,5884280,21MeOHACN,5320626.666666667
PS,21MeOHIPA,3606160,21MeOHIPA,3476133.3333333335
TG,21MeOHACN,501240,21MeOHACN,449440.0
