Date,Info,Lipid,Technical_Replicate,Operator
2025-01-07,splashmix,PC,1,SI
2025-01-07,brain,TG,1,SI
2025-01-07,liver,DG,1,SI
2025-01-07,liver,FA,1,SI
2025-01-07,brain,PC,1,SI
2025-01-07,brain,PC,2,SI
