Filename,Q1,Q3,Lipid,Date,Sample_Name,Sample,Summed_Intensity,TIC_Time,TIC_RSD_Total,TIC_RSD_Window,TIC_RSD_WindowBest,TIC_RSD_TopGroupWindow,Summed_TIC
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,738.64,184.1,d18:1-18:1(d9),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,12710850,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,675.64,369.1,18:1(d7),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,2192000,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,829.8,570.4,15:0-18:1(d7)-15:0,20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,6245200,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,755.53,570.4,15:0-18:1(d7),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,1810850,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,753.5,184.1,15:0-18:1(d7),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,20691250,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,531.5,271.3,C15,20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,10098900,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,487.5,346.3,18:1(d7),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,2310550,1.49808333333,1399.3506969285113,[],,,57721450
20250320_TGL_Splashmix_SolventTests_NoIPA_r1.wiff.scan,605.6,346.1,15:0-18:1(d7),20250320,TGL_Splashmix_SolventTests_NoIPA__faketestfake,Sample,1661850,1.49808333333,1399.3506969285113,[],,,57721450
