SolventMatrix,Normalized_Highest_TIC_%,Original_Highest_TIC,LipidClass
124CHCl3MeOHIPA,10.78942538424412,634880,PE
12CHCl3MeOH,1.607673326218331,94600,PE
21MeOHACN,100.0,5884280,PE
21MeOHIPA,75.6095902982183,4449080,PE
532MeOHIPAACN,33.58439775129668,1976200,PE
