SolventMatrix,Cer,PC,PE,PS,TG
124CHCl3MeOHIPA,316626.6666666667,36034866.666666664,626666.6666666666,650746.6666666666,72413.33333333333
12CHCl3MeOH,244720.0,652906.6666666666,65733.33333333333,5240.0,33066.666666666664
21MeOHACN,498213.3333333333,195353266.66666666,5320626.666666667,2704386.6666666665,449440.0
21MeOHIPA,1104506.6666666667,88165533.33333333,3157346.6666666665,3476133.3333333335,144920.0
532MeOHIPAACN,607240.0,41330213.333333336,1486653.3333333333,1248040.0,242533.33333333334
