SolventMatrix,mean,std,count
124CHCl3MeOHIPA,7540264.0,14751609.930369733,15
12CHCl3MeOH,200333.33333333334,298278.9941041935,15
21MeOHACN,40865186.666666664,89743017.0844203,15
21MeOHIPA,19209688.0,36335512.31164261,15
532MeOHIPAACN,8982936.0,16749691.359775133,15
