SolventMatrix,Highest_TIC_Wins,Average_TIC_Wins,Avg_Std_Dev,Avg_Std_Dev_Percent,Total_Wins
21MeOHACN,3,3,21822070.94947306,23.334111538885992,6
21MeOHIPA,2,2,3870615.606889752,30.778398802088304,4
124CHCl3MeOHIPA,0,0,181342.29869212018,13.695066332080444,0
12CHCl3MeOH,0,0,97202.49194929136,49.28990103863239,0
532MeOHIPAACN,0,0,246188.98195686322,16.021582214501375,0
