SolventMatrix,Normalized_Average_TIC_%,Normalized_Std_%,Original_Average_TIC,Original_Std,LipidClass
124CHCl3MeOHIPA,28.666795432048094,12.22183768739723,316626.6666666667,134991.01204648157,Cer
12CHCl3MeOH,22.156498225452086,0.8997507121469501,244720.0,9937.806599043875,Cer
21MeOHACN,45.10731789758323,4.896239787343778,498213.3333333333,54079.29486719786,Cer
21MeOHIPA,100.0,11.739040297580333,1104506.6666666667,129658.48268946129,Cer
532MeOHIPAACN,54.97839155942924,9.30746575433968,607240.0,102801.57975439871,Cer
