SolventMatrix,Normalized_Highest_TIC_%,Original_Highest_TIC,LipidClass
124CHCl3MeOHIPA,34.01254953764861,411960,Cer
12CHCl3MeOH,21.06340819022457,255120,Cer
21MeOHACN,46.19881109643329,559560,Cer
21MeOHIPA,100.0,1211200,Cer
532MeOHIPAACN,55.82562747688243,676160,Cer
